                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.94931,                 1.0098,                 1.4787,                0.94272,                0.83766,                0.90906,                0.69028,                0.91654,                 0.8758,                 1.4719,             0.00094085,             0.00094085,             0.00094085
                     46,                0.96122,                0.98895,                 1.4946,                0.91959,                0.84061,                0.94365,                0.72504,                0.86734,                0.75928,                 1.4217,             0.00092435,             0.00092435,             0.00092435
                     47,                0.93615,                0.98964,                  1.468,                0.91254,                0.82468,                0.91279,                0.70316,                0.83539,                0.79464,                 1.4163,             0.00090785,             0.00090785,             0.00090785
                     48,                0.91629,                0.95016,                 1.4682,                 0.8802,                0.85368,                0.92206,                0.73749,                 0.7872,                0.83005,                 1.3482,             0.00089134,             0.00089134,             0.00089134
                     49,                 0.9219,                0.93444,                 1.4499,                0.85268,                 0.8234,                0.87589,                0.71381,                0.86768,                0.82729,                 1.3904,             0.00087484,             0.00087484,             0.00087484
                     50,                0.90696,                0.94521,                  1.448,                0.94001,                0.77201,                0.91058,                0.73001,                0.85234,                0.78884,                 1.4452,             0.00085834,             0.00085834,             0.00085834
                     51,                0.89271,                 0.9092,                 1.4191,                0.91624,                0.88893,                0.92341,                0.71261,                0.81496,                0.74153,                  1.364,             0.00084184,             0.00084184,             0.00084184
                     52,                0.88129,                 0.9174,                 1.4206,                0.84792,                0.88699,                0.93321,                0.73841,                0.81728,                0.75448,                 1.4014,             0.00082533,             0.00082533,             0.00082533
                     53,                 0.8526,                0.92299,                 1.3919,                0.88578,                0.89211,                0.92963,                0.72225,                0.83289,                0.74288,                 1.4107,             0.00080883,             0.00080883,             0.00080883
                     54,                0.83065,                0.86454,                  1.386,                 0.8939,                0.88229,                0.92251,                0.73126,                0.85312,                0.72784,                 1.4323,             0.00079233,             0.00079233,             0.00079233
                     55,                0.84345,                0.86984,                 1.3948,                0.94731,                0.86445,                0.94931,                0.71996,                0.81089,                0.71296,                  1.406,             0.00077582,             0.00077582,             0.00077582
                     56,                0.84207,                0.85546,                 1.3951,                0.96274,                0.89164,                0.95358,                 0.7571,                0.78818,                0.63218,                  1.348,             0.00075932,             0.00075932,             0.00075932
                     57,                 0.8513,                0.85656,                 1.3934,                 0.9595,                0.85698,                0.95574,                0.74423,                0.82473,                0.70992,                 1.3837,             0.00074282,             0.00074282,             0.00074282
                     58,                0.80787,                0.83206,                 1.3546,                0.92464,                0.83441,                0.95025,                0.74399,                0.79975,                0.66544,                 1.3436,             0.00072631,             0.00072631,             0.00072631
                     59,                0.80596,                0.80868,                  1.363,                0.96506,                0.86845,                 0.9589,                0.78747,                0.72564,                0.64296,                 1.2854,             0.00070981,             0.00070981,             0.00070981
                     60,                0.79936,                0.82361,                 1.3513,                 0.9144,                 0.8997,                0.95142,                0.73133,                0.79005,                0.66201,                 1.3238,             0.00069331,             0.00069331,             0.00069331
                     61,                0.79444,                0.81669,                 1.3565,                0.81119,                0.95942,                0.94015,                 0.7757,                0.69343,                0.60222,                 1.2327,              0.0006768,              0.0006768,              0.0006768
                     62,                0.77676,                0.79436,                 1.3355,                0.94389,                0.85464,                0.93885,                 0.7483,                0.81371,                0.65282,                 1.3588,              0.0006603,              0.0006603,              0.0006603
                     63,                0.80169,                0.81683,                 1.3607,                0.95064,                 0.8576,                0.95816,                0.78134,                 0.7241,                0.61884,                 1.2492,              0.0006438,              0.0006438,              0.0006438
                     64,                0.76639,                0.77094,                 1.3339,                 0.9612,                 0.8445,                0.93616,                 0.7669,                0.67275,                0.64747,                 1.2297,             0.00062729,             0.00062729,             0.00062729
                     65,                0.74041,                0.77127,                 1.3093,                0.92196,                0.85372,                0.92934,                0.74861,                0.77956,                0.69549,                 1.3572,             0.00061079,             0.00061079,             0.00061079
                     66,                0.77088,                 0.7846,                 1.3266,                0.92821,                0.81667,                0.92703,                0.76172,                0.75512,                0.60833,                 1.3557,             0.00059429,             0.00059429,             0.00059429
                     67,                0.78658,                 0.7792,                 1.3396,                0.95059,                0.84253,                0.93984,                0.79415,                0.72828,                0.56106,                 1.3364,             0.00057778,             0.00057778,             0.00057778
                     68,                0.72606,                0.72546,                 1.2961,                 0.8907,                0.87338,                0.93904,                0.78605,                0.74135,                0.62634,                 1.2969,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.7113,                0.69088,                 1.2823,                 0.9713,                0.87316,                 0.9662,                0.80194,                0.69607,                0.60551,                  1.288,             0.00054478,             0.00054478,             0.00054478
                     70,                0.71597,                0.70899,                 1.2761,                0.93295,                0.85826,                0.94419,                0.78211,                0.71822,                 0.5664,                 1.2793,             0.00052827,             0.00052827,             0.00052827
                     71,                0.74002,                0.72327,                  1.308,                0.87501,                0.91045,                0.93901,                0.78004,                0.73433,                0.60927,                 1.3488,             0.00051177,             0.00051177,             0.00051177
                     72,                0.71708,                0.72011,                 1.2845,                 0.9703,                0.79368,                0.92198,                0.75592,                0.71985,                0.60024,                 1.3359,             0.00049527,             0.00049527,             0.00049527
                     73,                0.71946,                0.72855,                 1.2928,                0.94241,                0.90439,                0.95316,                0.78987,                0.70789,                0.54297,                 1.3117,             0.00047876,             0.00047876,             0.00047876
                     74,                0.71085,                0.70631,                 1.2986,                0.95936,                0.86574,                0.96193,                0.78797,                0.76179,                0.54723,                 1.3393,             0.00046226,             0.00046226,             0.00046226
                     75,                 0.6928,                0.66972,                 1.2822,                0.89721,                0.88676,                0.94205,                0.78266,                0.70502,                0.52976,                 1.3381,             0.00044576,             0.00044576,             0.00044576
                     76,                 0.6957,                0.67016,                 1.2767,                0.90885,                0.91499,                0.95536,                0.79824,                0.70952,                0.52712,                 1.3636,             0.00042925,             0.00042925,             0.00042925
                     77,                0.68069,                0.68339,                 1.2652,                0.87357,                 0.9013,                0.93336,                0.77588,                0.73444,                0.56907,                  1.366,             0.00041275,             0.00041275,             0.00041275
